名称,PLC地址,数剧类型,功能
输送线看门狗心跳,DB101.DBW0,WORD ,高电平1秒持续，低电平1秒持续，一直循环（不切换超过5秒时显示断开连接，所有数据不再读写到上位机）
输送线当前运行状态,DB101.DBW2,WORD ,01自动运行，02手动模式、03故障模式。。。。。
进料反馈（对应进货线体编号）,DB101.DBW4,WORD ,"BIT 0：值为1时，A1进货中
BIT 1：值为1时，A2进货中
BIT 2：值为1时，B1进货中
BIT 3：值为1时，B2进货中
BIT 4：值为1时，C1进货中
BIT 5：值为1时，C2进货中
BIT 6：值为1时，D1进货中
BIT 7：值为1时，D2进货中
BIT 8：值为1时，E进货中
BIT 9：值为1时，F进货中"
A机器人码垛位对应信息,DB101.DBW6-DB101.DBW16,WORD ,"DB101.DBW6: 1#码垛货位货物来源：1或者2为进货口
DB101.DBW8: 2#码垛货位货物来源：1或者2为进货口 
DB101.DBW10: 1#码垛货位货物数量                                                       DB101.DBW12: 2#码垛货位货物数量
DB101.DBW14: 1#码垛位清零（发送1，上位机收到复位）   
DB101.DBW16:  2#码垛位清零（发送1，上位机收到复位）   
"
B机器人码垛位对应信息,DB101.DBW18-DB101.DBW28,WORD ,"DB101.DBW18: 1#码垛货位货物来源：1或者2为进货口
DB101.DBW20: 2#码垛货位货物来源：1或者2为进货口 
DB101.DBW22: 1#码垛货位货物数量                                                       DB101.DBW24: 2#码垛货位货物数量
DB101.DBW26: 1#码垛位清零（发送1，上位机收到复位）   
DB101.DBW28:  2#码垛位清零（发送1，上位机收到复位）   
"
C机器人码垛位对应信息,DB101.DBW30-DB101.DBW40,WORD ,"DB101.DBW30: 1#码垛货位货物来源：1或者2为进货口
DB101.DBW32: 2#码垛货位货物来源：1或者2为进货口 
DB101.DBW34: 1#码垛货位货物数量                                                       DB101.DBW36: 2#码垛货位货物数量
DB101.DBW38: 1#码垛位清零（发送1，上位机收到复位）   
DB101.DBW40:  2#码垛位清零（发送1，上位机收到复位）   
"
D机器人码垛位对应信息,DB101.DBW42-DB101.DBW52,WORD ,"DB101.DBW42: 1#码垛货位货物来源：1或者2为进货口
DB101.DBW44: 2#码垛货位货物来源：1或者2为进货口 
DB101.DBW46: 1#码垛货位货物数量                                                       DB101.DBW48: 2#码垛货位货物数量
DB101.DBW50: 1#码垛位清零（发送1，上位机收到复位）   
DB101.DBW52:  2#码垛位清零（发送1，上位机收到复位）   
"
E桶码垛位对应信息,DB101.DBW54-DB101.DBW56,WORD ,"
DB101.DBW54: 1#码垛货位货物数量                                                       
DB101.DBW56: 1#码垛位清零（发送1，上位机收到复位）   
   
"
F桶码垛位对应信息,DB101.DBW58-DB101.DBW60,WORD ,"
DB101.DBW58: 1#码垛货位货物数量                                                       
DB101.DBW60: 1#码垛位清零（发送1，上位机收到复位）   
   
"
称重托盘托盘重量,DB101.DBW62,WORD ,在有托盘号时重量发送。上位机收到读取成功清零。
称重托盘托盘号,DB101.DBW100-129,char（30),上位机收到读取成功清零。
下货位置托盘号,DB101.DBB130~DB101.DBB159,char（30),下货位置托盘号请求给上位机，上位机收到后回复复位
A1上货位托盘码,DB101.DBW200-229,char（30),
A2上货位托盘码,DB101.DBB230~DB101.DBB259,char（30),
B1上货位托盘码,DB101.DBB260~DB101.DBB289,char（30),
B2上货位托盘码,DB101.DBB290~DB101.DBB309,char（30),
C1上货位托盘码,DB101.DBB310~DB101.DBB339,char（30),
C2上货位托盘码,DB101.DBB340~DB101.DBB369,char（30),
D1上货位托盘码,DB101.DBB370~DB101.DBB399,char（30),
D2上货位托盘码,DB101.DBB400~DB101.DBB429,char（30),
E上货位托盘码,DB101.DBB430~DB101.DBB459,char（30),
F上货位托盘码,DB101.DBB460~DB101.DBB489,char（30),
